Year_of_Study,Previous_GPA,Attendance_Percentage,CAT_1_Score,CAT_2_Score,Assignment_Score,Total_Internal_Marks,At_Risk
3,3.57,53,12,8,3,23,0
4,3.41,83,10,7,7,24,0
1,2.93,54,7,13,8,28,0
3,3.89,82,3,4,7,14,1
3,2.0,54,3,15,2,20,0
4,1.77,87,10,13,8,31,0
1,3.63,83,11,15,6,32,0
1,2.6,75,9,8,10,27,0
3,3.62,50,15,2,3,20,1
2,3.73,53,15,10,4,29,0
3,1.66,88,15,5,7,27,0
3,3.71,75,10,7,3,20,1
3,2.62,82,5,7,1,13,1
3,2.78,82,5,12,6,23,0
4,3.07,57,3,4,3,10,1
1,3.82,69,15,5,10,30,0
4,1.55,65,11,14,6,31,0
4,2.69,70,2,12,10,24,0
4,3.22,94,11,11,3,25,0
3,3.31,75,14,4,6,24,0
2,3.23,72,5,14,4,23,0
1,1.84,67,11,7,4,22,0
2,2.25,80,11,2,10,23,0
4,2.4,91,12,9,10,31,0
4,3.51,61,9,9,2,20,1
2,2.2,50,3,10,4,17,0
2,2.03,91,14,7,4,25,0
2,3.89,58,13,2,7,22,0
4,1.52,52,12,4,5,21,0
4,3.99,75,9,2,8,19,0
1,3.19,58,2,14,7,23,0
1,3.57,91,2,6,10,18,1
4,2.24,65,5,4,9,18,0
2,1.54,73,8,15,8,31,0
2,3.34,99,10,3,9,22,0
1,3.59,63,6,4,1,11,1
4,3.35,52,3,10,10,23,0
1,1.86,83,13,12,3,28,0
1,3.38,82,8,9,5,22,0
3,3.42,99,12,14,9,35,0
3,3.15,73,3,4,8,15,1
3,3.42,58,10,12,10,32,0
2,3.61,62,10,3,7,20,0
4,3.03,51,4,6,2,12,1
4,1.72,56,14,13,6,33,0
4,2.72,97,9,13,4,26,0
4,1.69,70,12,14,5,31,0
3,2.52,68,5,13,5,23,0
2,2.52,74,4,2,4,10,1
2,1.67,96,2,5,4,11,1
3,2.37,71,6,9,4,19,0
2,1.78,60,14,2,2,18,1
3,3.52,82,15,6,1,22,0
4,3.87,81,12,13,2,27,0
3,1.68,70,5,5,7,17,0
4,3.89,88,2,7,1,10,1
4,2.81,69,11,8,6,25,0
1,2.25,57,9,10,4,23,0
3,1.69,91,9,2,2,13,1
1,2.75,86,14,12,3,29,0
3,3.49,58,9,11,7,27,0
3,3.27,74,4,5,6,15,1
1,1.63,74,7,7,6,20,0
1,1.68,82,13,11,8,32,0
3,2.51,51,13,8,8,29,0
2,2.24,68,8,8,6,22,0
4,2.08,95,10,9,1,20,0
1,2.2,69,6,15,10,31,0
4,3.51,91,10,11,7,28,0
2,3.82,90,7,9,8,24,0
2,2.51,91,11,9,5,25,0
2,3.77,78,11,9,4,24,0
1,2.3,55,11,13,7,31,0
2,2.69,66,5,9,6,20,0
1,2.07,74,14,7,6,27,0
2,3.1,87,2,10,3,15,1
4,3.95,53,2,4,10,16,1
4,3.01,79,15,7,4,26,0
3,2.39,69,11,6,5,22,0
4,3.12,52,6,9,9,24,0
3,1.81,72,14,5,8,27,0
4,3.72,67,15,5,3,23,0
1,2.76,75,4,14,6,24,0
4,2.62,85,6,11,10,27,0
3,2.96,57,6,12,1,19,0
3,3.06,66,2,11,3,16,0
2,1.68,80,15,14,10,39,0
1,3.21,86,9,6,7,22,0
4,2.1,94,6,12,7,25,0
2,3.28,82,6,14,2,22,0
4,3.56,76,10,14,3,27,0
4,3.51,94,9,7,7,23,0
2,2.88,53,14,12,6,32,0
2,2.8,71,2,5,7,14,1
2,1.86,75,4,3,10,17,0
2,3.44,81,13,13,9,35,0
2,2.18,73,8,13,8,29,0
4,2.74,95,2,15,6,23,0
2,2.21,84,2,3,4,9,1
1,1.83,86,6,13,10,29,0
3,3.07,81,10,4,9,23,0
2,1.64,56,7,3,7,17,1
2,3.37,82,11,2,5,18,0
4,2.29,80,3,15,2,20,0
2,1.5,61,12,9,9,30,0
2,2.78,60,10,13,7,30,0
2,1.62,73,7,6,9,22,0
4,2.19,57,6,11,9,26,0
2,3.27,81,6,2,10,18,1
3,1.66,87,13,14,5,32,0
4,3.6,71,4,10,7,21,1
